RegionCode,RegionName,Deaths,Male2002,Female2002
Ggaba,Makindye,27991,9605,10607
Luzira,Nakawa,285,7355,8071
Rubaga,Rubaga,238,9284,11423
Civic Centre,Central,450,645,562
Makerere University,Kawempe,615,2389,2262
Kasubi,Rubaga,187,20274,23333
Nakulabye,Rubaga,368,9226,10552
Lubya,Rubaga,80,16612,18244
Busega,Rubaga,307,10737,11728
Nateete,Rubaga,271,10750,13045
Mutundwe,Rubaga,810,12750,14206
Lungujja,Rubaga,1706,9270,10086
Namirembe,Rubaga,180,6920,8327
Ndeeba,Rubaga,370,7849,8875
Kabowa,Rubaga,219,13623,14755
Najjanankumbi II,Rubaga,248,4877,5851
Najjanankumbi I,Rubaga,301,5569,6652
Makerere II,Kawempe,386,5663,6113
Kawempe II,Kawempe,284,6196,6944
Mpererwe,Kawempe,7305,1412,1528
Komamboga,Kawempe,110,2753,2921
Kanyanya,Kawempe,134,8857,9900
Kikaya,Kawempe,214,6976,7567
Kyebando,Kawempe,207,15694,17313
Kazo,Kawempe,193,7043,7708
Kawempe I,Kawempe,642,16803,19571
Bwaise II,Kawempe,445,7603,9205
Bwaise I,Kawempe,85,8433,9534
Bwaise III,Kawempe,216,4848,5682
Makerere III,Kawempe,247,6199,7376
Makerere I,Kawempe,4,3266,3485
Mulago I,Kawempe,2497,3391,4530
Mulago III,Kawempe,111,6513,6902
Wandegeya,Kawempe,99,2902,2992
Mulago II,Kawempe,1190,6554,7125
Kyanja,Nakawa,168,4136,4157
Bukoto II,Nakawa,432,10005,10815
Bukoto I,Nakawa,823,8406,9621
Kiwatule,Nakawa,2823,4853,5101
Upper Estate,Nakawa,510,628,547
Banda,Nakawa,88,6061,6205
Naguru II,Nakawa,212,13219,12917
Naguru I,Nakawa,133,1786,2075
Ntinda,Nakawa,156,4330,4764
Kyambogo,Nakawa,210,917,1042
Kyambogo Institutions,Nakawa,210,917,1042
Nabisunsa,Nakawa,298,199,560
Kololo II,Central,504,731,687
Industrial Area,Central,1813,271,183
Kamwokya II,Central,707,7332,7915
Kololo III,Central,151,1288,1228
Kamwokya I,Central,219,1353,1580
Kololo IV,Central,695,1448,1506
Kololo I,Central,269,841,887
Kisenyi II,Central,265,5439,5409
Kagugube,Central,596,3800,3688
Bukesa,Central,241,3815,4064
Old Kampala,Central,706,1873,2024
Mengo,Central,369,6199,6435
Kisenyi I,Central,296,1711,1738
Kisenyi III,Central,591,2414,2566
Nakivubo,Central,438,750,469
Nakasero IV,Central,212,574,389
Nakasero II,Central,5755,1846,1605
Nakasero III,Central,235,664,558
Nakasero I,Central,836,479,392
Katwe I,Makindye,381,4345,4773
Nsambya Estate,Makindye,381,3456,2345
Nsambya Railway,Makindye,641,1911,1961
Nsambya Police Barracks,Makindye,308,3652,3872
Nsambya Police,Makindye,308,532,3467
Katwe II,Makindye,81,6295,6704
Salaama,Makindye,2482,5113,5486
Lukuli,Makindye,84,7876,8898
Buziga,Makindye,237,4609,5029
Kibuye II,Makindye,145,4548,5025
Kibuye I,Makindye,149,10800,12509
Makindye II,Makindye,407,6525,7695
Luwafu,Makindye,277,5182,6028
Makindye I,Makindye,620,6261,7113
Kibuli,Makindye,529,11256,11357
Wabigalo,Makindye,562,9150,8847
Nsambya Central,Makindye,453,14241,16032
Kabalagala,Makindye,375,5959,6639
Kisugu,Makindye,126,8936,8773
Bukasa,Makindye,3964,9992,9712
Kansanga-Muyenga,Makindye,134,8697,10111
Nakawa Institutions,Nakawa,497,67,20
Nakawa,Nakawa,75,2994,2913
Kiswa,Nakawa,233,2156,2332
Bugolobi,Nakawa,192,3502,5317
Mbuya I,Nakawa,49,9538,9324
Mbuya II,Nakawa,120,4712,4703
Luzira Prisons,Nakawa,51,6605,2909
Mutungo,Nakawa,1,20764,22895
Butabika,Nakawa,2,5701,6083
UPK,Nakawa,3,138,132
ITEK,Nakawa,4,15,15
Nsambya Housing Estate,Makindye,5,362,375
